a	/ə/
a.	/ˈeɪ/
a.'s	/ˈeɪz/
a.d.	/ˌeɪˈdi/
a.m.	/ˌeɪˈɛm/
a.s	/ˈeɪz/
a's	/ˈeɪz/
aaa	/ˌtɹɪpəˈleɪ/
aaberg	/ˈɑbɚɡ/
aachen	/ˈɑkən/
aachener	/ˈɑkənɚ/
aaker	/ˈɑkɚ/
aalborg	/ˈɔlbɔɹɡ#place,danish/
aalburg	/ˈælbɚɡ#place,dutch/
aalen	/ˈælən#place,german/
aaliyah	/ˌɑˈliˌɑ/
aalseth	/ˈɑlsɛθ/
aalsmeer	/ˈɑlsmɪɹ#place,dutch/
aalto	/ˈɑlˌtoʊ#name,finnish/
aamodt	/ˈɑmət/
aancor	/ˈɑnˌkɔɹ/
aardema	/ɑɹˈdɛmə/
aardvark	/ˈɑɹdˌvɑɹk/
aardvarks	/ˈɑɹdˌvɑɹks/
aargh	/ˈɑɹɡ/
aarhus	/ˌɑˈhus/
aaron	/ˈɛɹən/
aaron's	/ˈɛɹənz/
aarons	/ˈɛɹənz/
aaronson	/ˈɛɹənsən/
aaronson's	/ˈɛɹənsənz/
aarti	/ˈɑɹˌti/
aase	/ˈɑs/
aasen	/ˈɑsən/
ab	/ˈæb/
aba	/ˌeɪˌbiˈeɪ/
ababa	/əˈbɑbə/
abacha	/ˈæbəkə/
aback	/əˈbæk/
abaco	/ˈæbəˌkoʊ/
abacus	/ˈæbəkəs/
abad	/əˈbɑd/
abadaka	/əˈbædəkə/
abadi	/əˈbædi/
abadie	/əˈbædi/
abair	/əˈbɛɹ/
abalkin	/əˈbɑlkɪn/
abalone	/ˌæbəˈloʊni/
abalones	/ˌæbəˈloʊniz/
abalos	/ɑˈbɑloʊz/
abandon	/əˈbændən/
abandoned	/əˈbændənd/
abandoning	/əˈbændənɪŋ/
abandonment	/əˈbændənmənt/
abandonments	/əˈbændənmənts/
abandons	/əˈbændənz/
abanto	/əˈbæntoʊ/
abarca	/əˈbɑɹkə/
abare	/ɑˈbɑɹi/
abascal	/ˈæbəskəl/
abash	/əˈbæʃ/
abashed	/əˈbæʃt/
abasia	/əˈbeɪʒjə/
abate	/əˈbeɪt/
abated	/əˈbeɪtɪd/
abatement	/əˈbeɪtmənt/
abatements	/əˈbeɪtmənts/
abates	/əˈbeɪts/
abating	/əˈbeɪtɪŋ/
abattoir	/ˌæbəˈtwɑɹ/
abba	/ˈæbə/
abbado	/əˈbɑdoʊ/
abbas	/əˈbɑs/
abbasi	/ɑˈbɑsi/
abbate	/ˈɑbeɪt/
abbatiello	/ɑbɑtiˈɛloʊ/
abbe	/ˈæbi/
abbenhaus	/ˈæbənˌhaʊs/
abbett	/əˈbɛt/
abbeville	/ˈæbvɪl/
abbey	/ˈæbi/
abbey's	/ˈæbiz/
abbie	/ˈæbi/
abbitt	/ˈæbɪt/
abbot	/ˈæbət/
abbotstown	/ˈæbətˈstaʊn/
abbott	/ˈæbət/
abbott's	/ˈæbəts/
abbottstown	/ˈæbətˈstaʊn/
abboud	/əˈbud/
abbreviate	/əˈbɹiviˌeɪt/
abbreviated	/əˈbɹiviˌeɪtɪd/
abbreviates	/əˈbɹiviˌeɪts/
abbreviating	/əˈbɹiviˌeɪtɪŋ/
abbreviation	/əˌbɹiviˈeɪʃən/
abbreviations	/əˌbɹiviˈeɪʃənz/
abbruzzese	/ɑbɹutˈseɪzi/
abbs	/ˈæbz/
abby	/ˈæbi/
abc	/ˈeɪˌbiˌsi/
abc's	/ˈeɪˌbiˌsiz/
abco	/ˈæbkoʊ/
abcotek	/ˈæbkoʊˌtɛk/
abcs	/ˈeɪˌbiˌsiz/
abd	/ˌeɪˌbiˈdi/
abdalla	/ˌæbˈdælə/
abdallah	/ˌæbˈdælə/
abdel	/ˈæbˌdɛl/
abdella	/ˌæbˈdɛlə/
abdicate	/ˈæbdəˌkeɪt/
abdicated	/ˈæbdəˌkeɪtɪd/
abdicates	/ˈæbdəˌkeɪts/
abdicating	/ˈæbdɪˌkeɪtɪŋ/
abdication	/ˌæbdɪˈkeɪʃən/
abdnor	/ˈæbdnɚ/
abdo	/ˈæbdoʊ/
abdollah	/ˌæbˈdɑlə/
abdomen	/æbˈdoʊmən/
abdominal	/æbˈdɑmənəl/
abduct	/æbˈdʌkt/
abducted	/æbˈdʌktɪd/
abductee	/æbˌdʌkˈti/
abductees	/æbˌdʌkˈtiz/
abducting	/æbˈdʌktɪŋ/
abduction	/æbˈdʌkʃən/
abductions	/æbˈdʌkʃənz/
abductor	/æbˈdʌktɚ/
abductors	/æbˈdʌktɚz/
abducts	/æbˈdʌkts/
abdul	/æbˈdul/
abdulaziz	/æbˌduləˈziz/
abdulla	/ɑbˈdulə/
abdullah	/ˌæbˈdʌlə/
abe	/ˈeɪb/
abed	/əˈbɛd/
abedi	/əˈbɛdi/
abee	/əˈbi/
abel	/ˈeɪbəl/
abela	/ɑˈbɛlə/
abelard	/ˈæbɪlɚd/
abele	/əˈbɛl/
abeles	/əˈbɛlz/
abell	/ˈeɪbəl/
abella	/əˈbɛlə/
abeln	/ˈæbɪln/
abelow	/ˈæbəloʊ/
abels	/ˈeɪbəlz/
abelson	/ˈæbɪlsən/
abend	/ˈæbɛnd/
abendroth	/ˈæbɪndɹɔθ/
aber	/ˈeɪbɚ/
abercrombie	/ˌæbɚˈkɹɑmbi/
aberdeen	/ˈæbɚˌdin/
aberford	/ˈeɪbɚfɚd/
aberg	/ˈæbɚɡ/
aberle	/ˈæbɚəl/
abermin	/ˈæbɚmɪn/
abernathy	/ˈæbɚˌnæθi/
abernethy	/ˈæbɚˌnɛθi/
aberrant	/æˈbɛɹənt/
aberration	/ˌæbɚˈeɪʃən/
aberrational	/ˌæbɚˈeɪʃənəl/
aberrations	/ˌæbɚˈeɪʃənz/
abert	/ˈæbɚt/
abet	/əˈbɛt/
abetted	/əˈbɛtɪd/
abetting	/əˈbɛtɪŋ/
abex	/ˈeɪbɛks/
abeyance	/əˈbeɪəns/
abeyta	/ɑˈbeɪtə/
abhor	/æbˈhɔɹ/
abhorred	/əbˈhɔɹd/
abhorrence	/əbˈhɔɹəns/
abhorrent	/æbˈhɔɹənt/
abhors	/əbˈhɔɹz/
abiam	/ˈeɪbiəm/
abiam's	/ˈeɪbiəmz/
abid	/ˈeɪbɪd/
abide	/əˈbaɪd/
abided	/əˈbaɪdɪd/
abides	/əˈbaɪdz/
abiding	/əˈbaɪdɪŋ/
abidjan	/æbɪˈdʒɑn/
abie	/ˈæbi/
abigail	/ˈæbəˌɡeɪl/
abila	/ɑˈbilə/
abilene	/ˈæbɪˌlin/
abilities	/əˈbɪləˌtiz/
ability	/əˈbɪləˌti/
abimael	/ˌæbɪˈmeɪl/
abimaels	/ˌæbɪˈmeɪlz/
abingdon	/ˈæbɪŋdən/
abington	/ˈæbɪŋtən/
abio	/ˈɑbioʊ/
abiola	/ˌɑbiˈoʊlə/
abiola's	/ˌɑbiˈoʊləz/
abiomed	/eɪˈbiəmɛd/
abiquiu	/əˈbɪkju/
abitibi	/ˌæbɪˈtibi/
abitz	/ˈæbɪts/
abject	/ˈæbdʒɛkt/
abkhazia	/æbˈkɑzjə/
abkhazian	/æbˈkɑziən/
abkhazians	/æbˈkɑziənz/
ablate	/ˌʌˈbleɪt/
ablation	/ˌʌˈbleɪʃən/
ablaze	/əˈbleɪz/
able	/ˈeɪbəl/
able-bodied	/ˈeɪbəlˈbɑdid/
abled	/ˈeɪbəld/
abler	/ˈeɪbəlɚ/
ables	/ˈeɪbəlz/
ablest	/ˈeɪbəlst/
abloom	/əˈblum/
ablution	/əˈbluʃən/
ablutions	/əˈbluʃənz/
ably	/ˈeɪbli/
abnegation	/ˌæbnɛˈɡeɪʃən/
abner	/ˈæbnɚ/
abney	/ˈæbni/
abnormal	/æbˈnɔɹməl/
abnormalities	/ˌæbnɔɹˈmælətiz/
abnormality	/ˌæbnɔɹˈmæləti/
abnormally	/æbˈnɔɹməli/
abo	/ˈɑboʊ/
abo's	/ˈɑboʊz/
aboard	/əˈbɔɹd/
abode	/əˈboʊd/
abohalima	/æbəhəˈlimə/
abolish	/əˈbɑlɪʃ/
abolished	/əˈbɑlɪʃt/
abolishes	/əˈbɑlɪʃɪz/
abolishing	/əˈbɑlɪʃɪŋ/
abolition	/ˌæbəˈlɪʃən/
abolitionism	/ˌæbəˈlɪʃəˌnɪzəm/
abolitionist	/ˌæbəˈlɪʃənəst/
abolitionists	/ˌæbəˈlɪʃənəsts/
abominable	/əˈbɑmənəbəl/
abomination	/əˌbɑməˈneɪʃən/
abominations	/əˌbɑməˈneɪʃənz/
abood	/əˈbud/
aboodi	/əˈbudi/
abor	/əˈbɔɹ/
aboriginal	/ˌæbɚˈɪdʒənəl/
aborigine	/ˌæbɚˈɪdʒəni/
